B01,B03,B04,B06,B08,B11
1587.1637630662021,1831.794425087108,1962.9303135888501,2196.965156794425,2256.285714285714,2590.693379790941
1591.0179211469533,1804.52688172043,1931.3655913978494,2177.8279569892475,2231.935483870968,2557.9498207885304
1592.5847750865053,1800.5674740484428,1928.681660899654,2175.6851211072662,2241.6851211072662,2545.989619377163
1595.0975609756097,1785.4285714285713,1916.8292682926829,2175.679442508711,2240.881533101045,2530.9337979094075
1596.9333333333334,1813.778947368421,1944.122807017544,2198.8877192982454,2273.498245614035,2539.1754385964914
1601.8048780487804,1821.4285714285713,1952.439024390244,2203.4947735191636,2287.682926829268,2537.602787456446
1603.8621908127209,1834.9681978798587,1969.2296819787987,2216.4734982332157,2297.904593639576,2542.2226148409895
1609.233449477352,1849.8188153310105,1983.4216027874565,2243.466898954704,2311.815331010453,2567.226480836237
1624.6620689655172,1873.0206896551724,2006.344827586207,2279.9241379310347,2334.3551724137933,2613.3310344827587
1627.1573426573427,1870.7902097902097,2005.048951048951,2279.5,2332.269230769231,2610.188811188811
1644.3101045296166,1893.4912891986062,2027.0871080139373,2307.5540069686413,2359.2090592334494,2643.456445993031
1655.8041237113403,1918.2474226804125,2053.979381443299,2327.1237113402062,2383.213058419244,2666.762886597938
1665.0755395683452,1932.9424460431655,2065.8129496402876,2343.884892086331,2402.4352517985612,2687.356115107914
1689.5719298245615,2026.1157894736841,2166.1649122807016,2418.315789473684,2497.7087719298247,2772.8596491228072
1691.5512367491167,2015.2049469964663,2156.809187279152,2420.2226148409895,2497.975265017668,2784.3427561837457
1696.7552447552448,2030.3636363636363,2172.664335664336,2449.1678321678323,2517.409090909091,2810.0104895104896
1701.8070175438597,2059.8105263157895,2204.1263157894737,2478.540350877193,2548.459649122807,2838.0912280701755
1719.8021201413428,2145.893992932862,2300.2756183745582,2558.7667844522966,2634.1236749116606,2934.8409893992934
1719.7777777777778,2148.5208333333335,2302.6736111111113,2556.597222222222,2635.2673611111113,2934.940972222222
1724.556338028169,2140.1971830985917,2296.3802816901407,2565.4330985915494,2637.3204225352115,2946.8802816901407
1723.1777003484322,2129.331010452962,2284.425087108014,2565.4773519163764,2630.6445993031357,2953.1114982578397
1728.0456140350877,2123.659649122807,2283.143859649123,2573.698245614035,2631.3824561403508,2969.9473684210525
1727.020979020979,2102.444055944056,2266.755244755245,2575.8321678321677,2616.2587412587413,2980.2587412587413
1726.986111111111,2091.9166666666665,2255.9166666666665,2570.9548611111113,2611.9270833333335,2979.3298611111113
1726.680701754386,2107.1649122807016,2273.7754385964913,2586.3368421052633,2625.221052631579,3002.6771929824563
1724.4744027303755,2115.098976109215,2283.9863481228667,2596.5358361774743,2650.0682593856654,3010.1126279863483
1724.759581881533,2141.3379790940767,2314.2369337979094,2628.7979094076654,2684.1463414634145,3041.3240418118467
1606.8793103448277,1980.6689655172413,2163.037931034483,2382.948275862069,2410.2413793103447,2785.537931034483
1581.6690140845071,1925.9894366197184,2112.3767605633802,2331.3697183098593,2354.5176056338028,2719.8908450704225
1554.801393728223,1893.3588850174217,2074.1951219512193,2294.954703832753,2324.8745644599303,2677.822299651568
1527.418118466899,1837.0662020905922,2013.6620209059233,2244.163763066202,2275.909407665505,2613.3658536585367
1494.1267605633802,1782.8978873239437,1952.6021126760563,2201.18661971831,2245.4225352112676,2553.8345070422533
1473.5536332179931,1749.166089965398,1915.8131487889273,2175.401384083045,2219.4117647058824,2513.204152249135
1459.9198606271777,1730.5191637630662,1892.780487804878,2155.8188153310102,2206.6132404181185,2490.679442508711
1439.8675958188153,1696.6829268292684,1854.3379790940767,2133.5853658536585,2180.257839721254,2455.261324041812
1424.1438596491228,1684.3438596491228,1841.1473684210525,2115.1649122807016,2168.4210526315787,2436.9508771929823
1396.8127208480566,1650.6501766784452,1802.1448763250883,2078.3286219081274,2130.678445229682,2396.2332155477034
1376.0,1619.9895104895104,1771.0734265734266,2055.653846153846,2102.335664335664,2368.181818181818
1343.0487804878048,1556.432055749129,1699.0592334494775,1994.006968641115,2044.2299651567944,2306.3867595818815
1313.6271777003485,1516.135888501742,1653.644599303136,1944.1324041811847,2000.574912891986,2245.163763066202
1294.6909722222222,1482.361111111111,1623.25,1895.298611111111,1952.2847222222222,2192.6388888888887
1278.5314685314686,1443.520979020979,1585.3041958041958,1852.9405594405594,1910.9055944055945,2140.146853146853
1261.8838028169014,1415.7288732394366,1558.5774647887324,1808.4894366197184,1864.3204225352113,2087.1338028169016
1250.212543554007,1391.644599303136,1534.1114982578397,1784.0801393728223,1842.2752613240418,2058.1114982578397
1244.5501730103806,1371.152249134948,1517.4256055363321,1764.39446366782,1819.287197231834,2038.1418685121107
1229.7921146953406,1325.7956989247311,1468.2759856630823,1726.7706093189963,1775.4659498207886,1989.4659498207886
1219.5574912891987,1305.8606271777003,1449.5121951219512,1707.2891986062718,1752.8432055749129,1971.7003484320558
1205.7122302158273,1280.7877697841727,1420.4460431654677,1677.820143884892,1729.1726618705036,1938.2805755395684
1200.9024390243903,1284.5191637630662,1422.630662020906,1674.9337979094078,1730.135888501742,1945.7560975609756
1197.8881118881118,1304.5594405594406,1445.832167832168,1678.6083916083917,1750.6608391608393,1957.8636363636363
1195.5971731448763,1316.017667844523,1459.6537102473499,1694.60777385159,1760.3674911660778,1987.060070671378
1197.6933797909408,1320.3728222996515,1465.3449477351917,1696.651567944251,1763.1010452961673,1998.1149825783973
1198.9238754325258,1328.6851211072665,1472.0899653979238,1702.0795847750865,1770.1868512110727,2010.80276816609
1203.7681660899655,1351.0,1494.249134948097,1715.7439446366782,1785.4567474048442,2058.065743944637
1209.0313588850174,1371.7979094076654,1519.2682926829268,1726.7108013937282,1806.595818815331,2085.2369337979094
1217.8947368421052,1400.1649122807019,1554.5333333333333,1755.8947368421052,1839.8035087719297,2119.8596491228072
1218.9505300353358,1427.583038869258,1584.5936395759718,1762.0247349823321,1860.9116607773851,2134.6855123674914
1224.2214532871972,1444.6470588235295,1601.8269896193772,1774.3079584775087,1869.0726643598616,2148.9031141868513
1231.888888888889,1459.8090277777778,1618.28125,1796.982638888889,1888.638888888889,2173.34375
1234.4425087108013,1466.1672473867595,1625.226480836237,1804.5400696864112,1890.9616724738676,2183.968641114983
1242.531690140845,1480.774647887324,1641.7042253521126,1823.5633802816901,1910.2464788732395,2202.306338028169
1248.341463414634,1503.2578397212544,1665.02787456446,1830.2020905923346,1920.560975609756,2222.466898954704
1256.3169014084508,1514.6760563380283,1675.5492957746478,1836.2570422535211,1926.4894366197184,2240.9471830985917
1262.409090909091,1517.1643356643356,1681.8531468531469,1840.6153846153845,1928.0174825174824,2249.5384615384614
1266.5328719723184,1526.0519031141869,1689.3667820069204,1849.166089965398,1943.5951557093426,2262.3529411764707
1278.2377622377621,1498.4685314685314,1655.8566433566434,1846.7972027972028,1923.3776223776224,2270.111888111888
1285.8204225352113,1493.887323943662,1646.5774647887324,1875.8169014084508,1937.1478873239437,2294.855633802817
1297.8815331010453,1532.1742160278745,1677.574912891986,1918.1324041811847,1991.9233449477351,2324.6620209059233
1305.3133802816901,1569.0070422535211,1706.7394366197184,1958.024647887324,2048.4823943661972,2350.5880281690143
1302.9081272084807,1585.9787985865723,1714.3533568904593,2018.844522968198,2109.0424028268553,2382.406360424028
1302.9930555555557,1609.6041666666667,1733.517361111111,2071.815972222222,2162.5173611111113,2412.4791666666665
1308.2961672473868,1636.0104529616724,1759.8919860627177,2111.411149825784,2200.0731707317073,2431.951219512195
